Dataset,Samples,Events,Reading Measures,# Subjects,# Sessions per Subject,Sampling Rate,Stimulus Type
":ref:`BSC` :cite:p:`BSC`",,X,,60,1,500 Hz,Text (sentences)
":ref:`BSCII` :cite:p:`BSCII`",,X,,60,1,1000 Hz,Text (sentences)
":ref:`CERVINO` :cite:p:`CERVINO-Paper,CERVINO-Zenodo`",,X,X,207,1,120 Hz,Text (documents)
":ref:`ChineseReading` :cite:p:`ChineseReading`",,X,X,303,1,1000 Hz,Text (sentences)
":ref:`CodeComprehension` :cite:p:`CodeComprehension`",,X,,27,1-2,2000 Hz,Text (code)
":ref:`CoLAGaze` :cite:p:`CoLAGaze`",,X,X,42,1,2000 Hz,Text (sentences)
":ref:`CopCo` :cite:p:`CopCoL1Hollenstein,CopCoL1DysBjornsdottir,CopCoL2`",X,X,X,58,1,1000 Hz,Text (documents)
":ref:`DAEMONS` :cite:p:`DAEMONS`",,X,,250,1,1000 Hz,Image
":ref:`DIDEC` :cite:p:`DIDEC`",X,,,112,1,250 Hz,Image
":ref:`EMTeC` :cite:p:`EMTeC`",X,X,,107,1,2000 Hz,Text (documents)
":ref:`ETDD70` :cite:p:`ETDD70`",X,X,,70,1,250 Hz,Text (documents)
":ref:`FakeNewsPerception` :cite:p:`FakeNewsPerception`",,X,,25,1,600 Hz,"Text (documents), Image"
":ref:`Gaze4Hate` :cite:p:`Gaze4Hate`",,X,X,43,1,1000 Hz,Text (sentences)
":ref:`GazeGraph` :cite:p:`GazeGraph`",X,,,8,1,30 Hz,Various
":ref:`GazeOnFaces` :cite:p:`GazeOnFaces`",X,,,405,1,250 Hz,Video
":ref:`GazeBase` :cite:p:`GazeBase`",X,,,322,1-9,1000 Hz,"Random Dots, Text (documents), Video, Game"
":ref:`GazeBaseVR` :cite:p:`GazeBaseVR`",X,,,407,1-6,250 Hz,"Random Dots, Text (documents), Video, Game"
":ref:`GGTG` :cite:p:`GGTG`",X,X,X,24,1,1000 Hz,"Text (documents)"
":ref:`HBN` :cite:p:`HBN`",X,,,1246,1,120 Hz,Video
":ref:`InteRead` :cite:p:`InteRead`",X,X,,50,1,1200 Hz,Text (documents)
":ref:`IITB_HGC` :cite:p:`IITB_HGC`",,X,,5,1,2000 Hz,Text (documents)
":ref:`JuDo1000` :cite:p:`JuDo1000`",X,,,150,4,1000 Hz,Random Dots
":ref:`MCFW-Gaze` :cite:p:`MCFW-Gaze-Paper,MCFW-Gaze-Zenodo`",X,,,15,1,120 Hz,"Image, Gaze Authentication, Web Browsing, Text, Video"
":ref:`MECOL1W1` :cite:p:`MECOL1W1`",,X,X,580,1,Various Hz,Text (documents)
":ref:`MECOL1W2` :cite:p:`MECOL1W2`",,X,X,654,1,Various Hz,Text (documents)
":ref:`MECOL2W1` :cite:p:`MECOL2W1`",,X,,542,1,Various Hz,Text (documents)
":ref:`MECOL2W2` :cite:p:`MECOL2W2`",,X,,660,1,Various Hz,Text (documents)
":ref:`MouseCursor` :cite:p:`MouseCursor`",X,,,2,1,3 Hz,Mouse Cursor
":ref:`OneStop` :cite:p:`OneStop`",,X,X,360,1,1000 Hz,Text (documents)
":ref:`PoTeC` :cite:p:`PoTeC`",X,,,75,1,1000 Hz,Text (documents)
":ref:`PotsdamBingeRemotePVT` :cite:p:`PotsdamBingePVT`",X,,,57,2,1000 Hz,Dots (PVT test)
":ref:`PotsdamBingeWearablePVT` :cite:p:`PotsdamBingePVT`",X,,,57,2,200 Hz (upsampled to 1000 Hz),Dots (PVT test)
":ref:`Provo` :cite:p:`Provo`",,X,,470,1,1000 Hz,Text (documents)
":ref:`RaCCooNS` :cite:p:`RaCCooNS`",X,X,X,37,1,1000 Hz,Text (sentences)
":ref:`SBSAT` :cite:p:`SB-SAT`",X,X,,95,1,1000 Hz,Text (documents)
":ref:`UCL` :cite:p:`UCL`",,X,X,43,1,500 Hz,Text (sentences)
